 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
140,20200626004-1-1-1-S7.2.jpg,3.336,255,8.168,0.628,1.379,0.725,0.814
141,20200626004-1-1-1-S7.2.jpg,4.092,255,11.647,0.379,1.971,0.507,0.701
142,20200626004-1-1-1-S7.2.jpg,1.234,255,4.218,0.872,1.104,0.906,0.926
143,20200626004-1-1-1-S7.2.jpg,0.220,255,1.726,0.929,1.403,0.713,0.870
144,20200626004-1-1-1-S7.2.jpg,0.566,255,3.583,0.554,2.284,0.438,0.751
145,20200626004-1-1-1-S7.2.jpg,0.132,255,1.313,0.965,1.416,0.706,0.878
146,20200626004-1-1-1-S7.2.jpg,0.132,255,1.242,1.000,1.362,0.734,0.947
147,20200626004-1-1-1-S7.2.jpg,3.343,255,7.207,0.809,1.029,0.972,0.917
148,20200626004-1-1-1-S7.2.jpg,0.213,255,1.655,0.977,1.325,0.755,0.906
149,20200626004-1-1-1-S7.2.jpg,0.096,255,1.020,1.000,1.450,0.690,0.897
150,20200626004-1-1-1-S7.2.jpg,1.043,255,3.917,0.854,1.250,0.800,0.893
151,20200626004-1-1-1-S7.2.jpg,1.565,255,4.703,0.889,1.030,0.970,0.942
152,20200626004-1-1-1-S7.2.jpg,3.571,255,9.025,0.551,1.915,0.522,0.781
153,20200626004-1-1-1-S7.2.jpg,2.718,255,9.185,0.405,3.565,0.281,0.709
154,20200626004-1-1-1-S7.2.jpg,2.674,255,8.762,0.438,2.848,0.351,0.737
155,20200626004-1-1-1-S7.2.jpg,0.132,255,1.313,0.965,1.639,0.610,0.878
156,20200626004-1-1-1-S7.2.jpg,2.182,255,6.734,0.605,1.286,0.778,0.813
157,20200626004-1-1-1-S7.2.jpg,0.073,255,0.970,0.982,1.241,0.806,0.800
158,20200626004-1-1-1-S7.2.jpg,2.476,255,7.199,0.600,1.469,0.681,0.816
159,20200626004-1-1-1-S7.2.jpg,0.088,255,1.020,1.000,1.651,0.606,0.889
160,20200626004-1-1-1-S7.2.jpg,3.277,255,8.520,0.567,2.303,0.434,0.834
161,20200626004-1-1-1-S7.2.jpg,0.397,255,2.312,0.933,1.391,0.719,0.915
162,20200626004-1-1-1-S7.2.jpg,4.834,255,13.315,0.343,2.922,0.342,0.621
163,20200626004-1-1-1-S7.2.jpg,3.747,255,8.227,0.696,1.902,0.526,0.888
164,20200626004-1-1-1-S7.2.jpg,1.903,255,5.936,0.679,2.143,0.467,0.855
165,20200626004-1-1-1-S7.2.jpg,0.235,255,1.797,0.914,1.202,0.832,0.842
166,20200626004-1-1-1-S7.2.jpg,0.904,255,3.766,0.801,1.694,0.590,0.872
167,20200626004-1-1-1-S7.2.jpg,0.176,255,1.484,1.000,1.272,0.786,0.906
168,20200626004-1-1-1-S7.2.jpg,3.975,255,9.548,0.548,1.888,0.530,0.786
169,20200626004-1-1-1-S7.2.jpg,0.287,255,1.969,0.929,1.190,0.840,0.876
170,20200626004-1-1-1-S7.2.jpg,1.389,255,4.703,0.789,1.061,0.943,0.906
171,20200626004-1-1-1-S7.2.jpg,0.154,255,1.363,1.000,1.475,0.678,0.933
172,20200626004-1-1-1-S7.2.jpg,5.290,255,11.960,0.465,1.298,0.771,0.733
173,20200626004-1-1-1-S7.2.jpg,2.968,255,7.308,0.698,1.076,0.929,0.862
174,20200626004-1-1-1-S7.2.jpg,0.470,255,2.675,0.825,1.391,0.719,0.871
175,20200626004-1-1-1-S7.2.jpg,0.279,255,1.898,0.974,1.538,0.650,0.927
176,20200626004-1-1-1-S7.2.jpg,0.184,255,1.555,0.954,1.335,0.749,0.862
177,20200626004-1-1-1-S7.2.jpg,0.661,255,3.583,0.647,1.825,0.548,0.822
178,20200626004-1-1-1-S7.2.jpg,0.206,255,1.676,0.920,1.466,0.682,0.862
179,20200626004-1-1-1-S7.2.jpg,4.180,255,8.650,0.702,2.298,0.435,0.897
180,20200626004-1-1-1-S7.2.jpg,0.103,255,1.141,0.993,1.371,0.729,0.848
181,20200626004-1-1-1-S7.2.jpg,0.353,255,2.483,0.719,2.412,0.415,0.873
182,20200626004-1-1-1-S7.2.jpg,0.191,255,1.534,1.000,1.274,0.785,0.929
183,20200626004-1-1-1-S7.2.jpg,9.566,255,13.102,0.700,1.204,0.831,0.876
184,20200626004-1-1-1-S7.2.jpg,0.059,255,0.778,1.000,1.229,0.814,0.941
185,20200626004-1-1-1-S7.2.jpg,0.669,255,3.190,0.826,1.992,0.502,0.901
186,20200626004-1-1-1-S7.2.jpg,20.101,255,21.003,0.573,1.570,0.637,0.845
187,20200626004-1-1-1-S7.2.jpg,2.351,255,6.885,0.623,1.611,0.621,0.824
188,20200626004-1-1-1-S7.2.jpg,1.550,255,5.501,0.644,1.580,0.633,0.805
189,20200626004-1-1-1-S7.2.jpg,3.387,255,7.751,0.708,1.197,0.835,0.876
190,20200626004-1-1-1-S7.2.jpg,2.990,255,7.115,0.742,1.683,0.594,0.898
191,20200626004-1-1-1-S7.2.jpg,1.176,255,4.210,0.834,1.410,0.709,0.904
192,20200626004-1-1-1-S7.2.jpg,4.100,255,11.141,0.415,2.042,0.490,0.674
193,20200626004-1-1-1-S7.2.jpg,1.543,255,5.067,0.755,2.065,0.484,0.901
194,20200626004-1-1-1-S7.2.jpg,2.424,255,8.277,0.445,2.616,0.382,0.760
195,20200626004-1-1-1-S7.2.jpg,0.588,255,2.918,0.868,1.471,0.680,0.889
196,20200626004-1-1-1-S7.2.jpg,0.059,255,1.171,0.539,3.152,0.317,0.800
197,20200626004-1-1-1-S7.2.jpg,1.528,255,5.330,0.676,1.311,0.763,0.814
198,20200626004-1-1-1-S7.2.jpg,3.563,255,8.570,0.610,1.143,0.875,0.813
199,20200626004-1-1-1-S7.2.jpg,0.500,255,2.776,0.815,1.505,0.664,0.895
200,20200626004-1-1-1-S7.2.jpg,0.485,255,2.533,0.949,1.283,0.779,0.923
201,20200626004-1-1-1-S7.2.jpg,0.272,255,2.069,0.798,2.058,0.486,0.860
202,20200626004-1-1-1-S7.2.jpg,4.629,255,9.155,0.694,1.434,0.697,0.857
203,20200626004-1-1-1-S7.2.jpg,34.883,255,29.777,0.494,1.231,0.813,0.791
204,20200626004-1-1-1-S7.2.jpg,0.793,255,3.967,0.634,2.136,0.468,0.867
205,20200626004-1-1-1-S7.2.jpg,4.364,255,10.438,0.503,2.462,0.406,0.788
206,20200626004-1-1-1-S7.2.jpg,0.242,255,1.898,0.846,1.844,0.542,0.892
207,20200626004-1-1-1-S7.2.jpg,0.294,255,2.019,0.906,1.502,0.666,0.870
208,20200626004-1-1-1-S7.2.jpg,0.749,255,3.545,0.749,1.928,0.519,0.872
209,20200626004-1-1-1-S7.2.jpg,3.328,255,7.993,0.655,2.008,0.498,0.876
210,20200626004-1-1-1-S7.2.jpg,0.970,255,4.674,0.558,2.457,0.407,0.767
211,20200626004-1-1-1-S7.2.jpg,7.494,255,14.728,0.434,2.451,0.408,0.719
212,20200626004-1-1-1-S7.2.jpg,0.213,255,1.676,0.953,1.531,0.653,0.866
213,20200626004-1-1-1-S7.2.jpg,0.889,255,3.817,0.767,1.513,0.661,0.864
214,20200626004-1-1-1-S7.2.jpg,3.681,255,9.741,0.488,2.093,0.478,0.768
215,20200626004-1-1-1-S7.2.jpg,2.579,255,7.550,0.568,2.154,0.464,0.795
216,20200626004-1-1-1-S7.2.jpg,0.096,255,1.020,1.000,1.159,0.863,0.897
217,20200626004-1-1-1-S7.2.jpg,0.580,255,2.746,0.967,1.208,0.828,0.903
218,20200626004-1-1-1-S7.2.jpg,0.198,255,1.534,1.000,1.210,0.826,0.947
219,20200626004-1-1-1-S7.2.jpg,0.184,255,1.484,1.000,1.177,0.849,0.926
220,20200626004-1-1-1-S7.2.jpg,2.909,255,6.956,0.756,1.225,0.816,0.878
221,20200626004-1-1-1-S7.2.jpg,15.487,255,27.675,0.254,1.517,0.659,0.542
222,20200626004-1-1-1-S7.2.jpg,0.345,255,2.262,0.848,1.954,0.512,0.895
223,20200626004-1-1-1-S7.2.jpg,0.830,255,3.775,0.732,1.819,0.550,0.840
224,20200626004-1-1-1-S7.2.jpg,0.639,255,3.624,0.611,2.329,0.429,0.806
225,20200626004-1-1-1-S7.2.jpg,0.147,255,1.363,0.994,1.643,0.609,0.930
226,20200626004-1-1-1-S7.2.jpg,5.400,255,11.367,0.525,1.618,0.618,0.786
227,20200626004-1-1-1-S7.2.jpg,2.630,255,8.419,0.466,2.230,0.448,0.690
228,20200626004-1-1-1-S7.2.jpg,1.763,255,8.298,0.322,3.404,0.294,0.657
229,20200626004-1-1-1-S7.2.jpg,8.339,255,15.263,0.450,2.798,0.357,0.845
230,20200626004-1-1-1-S7.2.jpg,0.367,255,2.191,0.962,1.349,0.741,0.901
231,20200626004-1-1-1-S7.2.jpg,1.469,255,6.137,0.490,2.833,0.353,0.775
232,20200626004-1-1-1-S7.2.jpg,0.896,255,4.360,0.592,1.813,0.552,0.787
233,20200626004-1-1-1-S7.2.jpg,2.755,255,9.883,0.354,2.803,0.357,0.600
234,20200626004-1-1-1-S7.2.jpg,0.140,255,1.363,0.944,1.396,0.717,0.905
235,20200626004-1-1-1-S7.2.jpg,0.081,255,1.020,0.976,1.450,0.689,0.846
236,20200626004-1-1-1-S7.2.jpg,0.301,255,1.919,1.000,1.435,0.697,0.901
237,20200626005-1-1-2-D66.3.jpg,0.228,255,1.655,1.000,1.058,0.945,0.925
238,20200626005-1-1-2-D66.3.jpg,0.184,255,1.555,0.954,1.808,0.553,0.877
